California State University, Dominguez Hills		1000 E Victoria St, Carson, CA 90747	Public	CSU Dominguez Hills is accredited by the Western Association of Schools and Colleges (WASC).			https://cluster-data-sources.s3-us-west-1.amazonaws.com/CSU+Dominguez+Logo+Resized.png	Cal State Dominguez Hills is a public institution within the California State University system. CSU Dominguez Hills offers four-year degrees, graduate programs, and certificate programs. 	14731	rgb(134, 0, 56)	#860038,#EFBA08	Systems Engineering		
California State University, Los Angeles	College of Engineering, Computer Science, and Technology	5151 State University Dr, Los Angeles, CA 90032	Public	California State University, Los Angeles is accredited by the Western Association of Schools and Colleges (WASC).			https://cluster-data-sources.s3-us-west-1.amazonaws.com/Cal+State+LA+Logo+Resized.jpg	Cal State Los Angeles or Cal State LA is a public institution within the California State University system. Cal State LA offers four-year degrees, graduate programs, and certificate programs. 	27685	rgb(0, 0, 0)	#000000,#FECE00	Civil Engineering		320
Imperial Valley College	Industrial Technology Department	80 E Aten Rd, Imperial, CA 92251	Public	Imperial Valley College is in the process of receiving an accreditation from the Accreditation Commission on Community and Junior Colleges (ACCJC).			https://cluster-data-sources.s3-us-west-1.amazonaws.com/IVC+Logo+Resized+(1).jpg	Imperial Valley College is a public community college in Imperial Valley, CA. IVC offers associate degree programs, career technical programs, general education courses, and workforce preparation courses. 	8449	rgb(237, 28, 36)	#ED1C24,#000000	Welding Technology,Automotive Technology,Electrical Technology,Alternative Energy - Solar Technology		46
Bakersfield College		1801 Panorama Dr, Bakersfield, CA 93305	Public	Bakersfield College is accredited by the Accrediting Commission for Community and Junior Colleges (ACCJC).			https://cluster-data-sources.s3-us-west-1.amazonaws.com/bakersfield-college-logo+resized+(png).png	Bakersfield College is a public community college in the Kern Community College District that offers associate degree programs, career technical programs, general education courses, and workforce preparation courses. 	22000	rgb(0, 0, 0)	#000000,#ED1B24	Electronics Technology,Manufacturing Technology,"Basic Machine Tool Operations Lathe, Mill",CNC Programming,Welding		46
Cerro Coso Community College		3000 College Heights Blvd, Ridgecrest, CA 93555	Public	Cerro Coso Community College is accredited by the Accrediting Commission for Community and Junior Colleges (ACCJC).			https://cluster-data-sources.s3-us-west-1.amazonaws.com/CerroCoso_Primary_400+Logo.png	Cerro Coso Community College is a public community college within the California Community Colleges system and Kern Community College District. The college offers  in person and online associate degree programs, career technical programs, general education courses, and workforce preparation courses. 	4866	rgb(0, 36, 93)	#00245D,#4A96C8,#B0B7BC	Welding Process ,Welding Technology		46
Taft College		29 Cougar Ct, Taft, CA 93268	Public	Taft College is accredited by the Accrediting Commission for Community and Junior Colleges (ACCJC).			https://cluster-data-sources.s3-us-west-1.amazonaws.com/Taft+College+Seal+Resized.jpg	Taft College is a public community college within the California Community Colleges System. Taft College offers associate degree programs, career technical programs, general education courses, and workforce preparation courses.	6260	rgb(235, 171, 33)	#EBAB21,#000000	Structural Code Welding,Pipe Code Welding		46
El Camino College		16007 Crenshaw Blvd, Torrance, CA 90506	Public	El Camino College is accredited by the Accrediting Commission for Community and Junior Colleges (ACCJC).			https://cluster-data-sources.s3-us-west-1.amazonaws.com/El+Camino+College+Logo.png	El Camino College is a public community college within the California Community Colleges System and El Camino Community College District. El Camino College offers associate degree programs, career technical programs, general education courses, and workforce preparation courses.	34455	rgb(32, 65, 153)	#204199,#FFFFFF	Computer Aided Design/Drafting,Welding Technology		46
Cerritos College		11110 Alondra Blvd, Norwalk, CA 90650	Public	Cerritos College is accredited by the Accrediting Commission for Community and Junior Colleges (ACCJC).			https://cluster-data-sources.s3-us-west-1.amazonaws.com/Cerritos+College+Logo+Resized.jpg	Cerritos College is a public community college within the California Community Colleges System and the Cerritos Community College District. Cerritos College offers associate degree programs, career technical programs, general education courses, and workforce preparation courses.	21671	rgb(0, 47, 102)	#002E66,#FFFFFF	Engineering Design Technology,Mechanical Engineering Design Technician		46
Compton College		1111 E. Artesia Boulevard, Compton, 90221	Public	Compton College is accredited by the Accrediting Commission for Community and Junior Colleges (ACCJC).			https://cluster-data-sources.s3-us-west-1.amazonaws.com/Compton+College+Resized+Logo.jpg	Compton College is a public community college within the California Community Colleges System and the Compton Community College District. Compton College offers associate degree programs, career technical programs, general education courses, and workforce preparation courses.	12205	rgb(152, 27, 54)	#981B36,#747679	Manufacturing Technology and Robotics,Welding I,Welding II,CNC Machine Operator,Machinist,CNC Programmer		46
Los Angeles Pierce College		6201 Winnetka Ave, Woodland Hills, CA 91371	Public	Los Angeles Pierce College is accredited by the Accrediting Commission for Community and Junior Colleges (ACCJC).			https://cluster-data-sources.s3-us-west-1.amazonaws.com/0.jpg	Los Angeles Pierce College is a public community college within the California Community Colleges System and the Los Angeles Community College District. Los Angeles Pierce College offers Bachelor of Applied Sciences programs, associate degree programs, career technical programs, general education courses, and workforce preparation courses.	17655	rgb(209, 35, 30)	#D1231E,#000000	Engineering Graphics and Design Technology,Gas and Electric Welding,CNC Programming		46
Los Angeles Trade Technical College		400 W Washington Blvd, Los Angeles, CA 90015	Public	Los Angeles Trade-Technical College is accredited by the Accrediting Commission for Community and Junior Colleges (ACCJC)			https://cluster-data-sources.s3-us-west-1.amazonaws.com/LATTC+Logo.png	Los Angeles Trade Technical College is a public community college within the California Community Colleges System and the Los Angeles Community College District. Los Angeles Trade Technical College offers associate degree programs, career technical programs, general education courses, and workforce preparation courses.	12984	rgb(187, 45, 61)	#BB2D3D,#000000	Advanced Manufacturing: Welding and Fabrication,Hybrid and Electric Plug-In Vehicle Technology,Machine Shop: CNC ,"Welding, Gas, and Electric"		46
Los Angeles Valley College		5800 Fulton Ave, Van Nuys, CA 91401	Public	Los Angeles Valley College is accredited by the Accrediting Commission for Community and Junior Colleges (ACCJC)			https://cluster-data-sources.s3-us-west-1.amazonaws.com/LA+Valley+College+Logo.jpg	Los Angeles Valley College is a public community college within the California Community Colleges System and the Los Angeles Community College District. Los Angeles Valley College offers  associate degree programs, career technical programs, general education courses, and workforce preparation courses.	17243	rgb(0, 54, 28)	#00361C,#EFA506	Electronics Technology,Engineering Technology: Industrial/Manufacturingd,Engineering Technology: Metal Machining,Manufacturing Technology: CNC,Mechanical Drafting/Design,Mechanical Engineering Technology		46
Pasadena City College		1570 East Colorado Boulevard , Pasadena, 91106	Public	Pasadena City College is accredited by the Accrediting Commission for Community and Junior Colleges (ACCJC).			https://cluster-data-sources.s3-us-west-1.amazonaws.com/PCC+Standard+Logo.jpg	Pasadena City College is a public community college within the California Community Colleges System and the Pasadena Area Community College District. The college offers Bachelor of Applied Sciences programs, associate degree programs, career technical programs, general education courses, and workforce preparation courses.	30250	rgb(168, 4, 51)	#A80433,#231F20	Electrical Technology,Manufacturing Engineering Technician ,Mechanical Engineering Technician,Welding - Construction Welding,Gas Tungsten and Gas Metal Welding		46
Rio Hondo College		3600 Workman Mill Rd, Whittier, CA 90601	Public	Rio Hondo College is fully accredited by the Accrediting Commission for Community and Junior Colleges (ACCJC).			https://cluster-data-sources.s3-us-west-1.amazonaws.com/Rio+Hondo+College+Logo.jpg	Rio Hondo College is a public community college within the California Community Colleges System and the Rio Hondo Community College District. The college offers associate degree programs, career technical programs, general education courses, and workforce preparation courses.	19948	rgb(233, 201, 174)	#E9C9AE,#D5A073,#AC5C10	Alternative Energy Technology,Alternative Fuels/Advanced Transportation Technology		46
Cypress College	The School of Career Technical Education	9200 Valley View St, Cypress, CA 90630	Public	Cypress College is accredited by the Accrediting Commission for Community and Junior Colleges (ACCJC).			https://cluster-data-sources.s3-us-west-1.amazonaws.com/Cypress+College+Logo.jpg	Cypress College is a public community college within the California Community Colleges System and the North Orange County Community College District. The college offers associate degree programs, career technical programs, general education courses, and workforce preparation courses.	16000	rgb(6, 58, 117)	#063A75,#FED337	Automotive Technology,Aviation I Private Pilot ,Aviation II Instrument Pilot,Aviation III Commercial Pilot,Aviation IV Advanced Pilot,Aviation Management,Mechantronics and Industrial Automation,Sustainable Energy,UAV/UAS Advanced		46
Golden West College		15744 Goldenwest Street , Huntington Beach, 92647-0592	Public	Golden West College is accredited by the Western Association of Schools and Colleges (WASC).			 Amazon S3/cluster-data-sources/Golden West College Logo.png Golden West College Logo.png Latest version  Overview Properties Permissions Select from Open Download Download as Make public Copy path Copied to clipboard! Owner ops Last modified Dec 2, 2019 11:23:34 AM GMT-0800 Etag 5b2235d65240946737bb8a04f93646c1 Storage class Standard Server-side encryption Size 12.7 KB Key Golden West College Logo.png Object URL https://cluster-data-sources.s3-us-west-1.amazonaws.com/Golden+West+College+Logo.png Operations 0 In progress 1 Success 0 Error	Golden West College is a public community college within the California Community Colleges System and the Coast Community College District. The college offers associate degree programs, career technical programs, general education courses, and workforce preparation courses.	11610	rgb(51, 99, 99)	#336363,#FBE24F	Technical Drafting,Computer Aided Design and Drafting, Engine Performance and Emission Specialist 		46
Santa Ana College		1530 W. 17th Street , Santa Ana, 92706-3398	Public	Santa Ana College is accredited by the Accrediting Commission for Community and Junior Colleges (ACCJC).			https://cluster-data-sources.s3-us-west-1.amazonaws.com/Santa+Ana+College+Logo.png	Santa Ana College is a public community college within the California Community Colleges System and the Rancho Santiago Community College District. The college offers associate degree programs, career technical programs, general education courses, and workforce preparation courses.	29590	rgb(229, 24, 55)	#E51837,#9A0000,#000000	CNC Lathe Set Up and Operations		46
